date,content,category,label
12-06-2025,"""خونا حمزة خنشار (الحفّاف) دار أكسيدون ومات. لخبر لي يوجّع لحق ليماه المسكينة، ربي يشافيها.""",Social,fake
4-10-2025,الصحفي عبد العالي مزغيش راهو يأكد: خبر وفاة الفنانة بيونة.,Social,fake
2-09-2024,الفنان عمر ثايري مات، الله يرحمو.,Social,fake
21-01-2025,"""كاسنوس"" راح يبدا يتبع قضائيا الناس اللي دّاو الدعم من ""لونساج"".",Economy,fake
14-09-2025,التلفزيون الجزائري راه يتفاوض مع تطبيق stazplay باش يشري حقوق الدوري الإيطالي.,Sports,fake
02-07-2025,منحة تاع النسا اللي قاعدين في الدار راهي خرجت في الجورنال الرسمي في العدد 37 تاع 15 جوان 2025.,Economy,fake
28-05-2025,الفنانة السورية الكبيرة منى واصف (83 سنة)، الله يرحمها، ماتت البارح بعد ما عانت مع المرض.,Social,fake
24-06-2025,"""الجثة اللي لقاوها في قسنطينة طلعت تاع الطفلة لي كانت ضايعة، مروة بوغشاش.""",Social,fake
5-12-2025,ليوم هشام بوقفة دارها و دخل القفص الذهبي.,Social,fake
11-08-2025,المدربة تاع حوت الأوركا اللي اسمها جسيكا رادكليف ماتت في حادث.,Social,fake
3-07-2025,هذا السيد هو اللي قتل الطفلة مروة، وراهو شادوه.,Judiciary,fake
31-08-2025,الشيفور تاع الكار اللي دار حادث في واد الحراش راه مات.,Social,fake
5-02-2025,بلماضي (غوارديولا الجزائر) راح يبدا يدرب فريق العين الإماراتي الشهر الجاي.,Sports,fake
6-09-2025,الدكتورة شيماء وليد، طبيبة قلب شابة، ماتت مور عملية جراحية دامت 5 سوايع.,Social,fake
29-08-2025,التسجيل لموسم الحج 2025 راهو تفتح في الجزائر.,Social,fake
26-09-2024,نحّاو مدير مطار هواري بومدين، مختار مديوني، مور ما دار غلطة واعرة.,Politics,fake
27-05-2025,طيحة طيارة موريتانية و ماتو 220 حاج كانوا رايحين للبقاع المقدسة.,Social,fake
9-07-2024,الخَلصة اللولة تاع عدل 3 تكون شهرين مورا ما تكونفيرمي التسجيل.,Economy,fake
28-06-2024,رياض محرز، اللعب الجزائري دار ڤاكسيدون كبير في لونڨلتير، وداوه للسبيطار.,Sports,fake
5-02-2024,فيديو يبين الجامع الأعظم وهو يحترق.,Social,fake
7-06-2024,أب ذبح بنتو من الوريد للوريد في مدينة أريس.,Social,fake
15-10-2024,تونس نحات جواز السفر على الجزائريين، ودوك أي جزائري يقدر يسافر بتذكرة الهوية برك.,Politics,fake
1-11-2025,غوغل نحات الخط الفاصل بين المغرب والصحراء الغربية.,Politics,fake
13-09-2025,وفاة 8 أشخاص في حادث كبير خلال حفل زفاف بولاية سطيف.,Social,fake
29-08-2025,نحّاو الوزير الأول وعيّنوا سي سيفي غريب وزير أول بالنيابة.,Politics,fake
18-08-2025,"وزيرة التضامن قالت: ""100 مليون تكفي للعائلات اللي فقدت واحد في حادثة الحراش على خاطر مساكن.""",Politics,fake
25-06-2025,"إعلان نتائج شهادة التعليم المتوسط ""البيام"" راح يكون يوم الخميس 27 جوان.",Education,fake
21-06-2025,كارثة صرات في بكالوريا 2025.,Education,fake
17-06-2025,قتل ضباط جزائريين في إيران بعد ما تضرب مقر تاع الحرس الثوري الإيراني.,Politics,fake
27-05-2025,طيارة كانت دّي حجّاج موريطانيين طاحت في البحر الأحمر وماتو كاع اللي كانوا فيها (220 حاج).,Social,fake
17-05-2025,"""البرلماني عبد القادر بريش طلب من وزير الخارجية يطلب تدخل سوريا باش يطلقو سراح ""جزايريين عسكر وبوليساريو لي راهم حاكمينهم"".",Politics,fake
14-05-2025,واحد سخف كلبو على دري صغير وخلعو في حومة من حومات وهران.,Judiciary,fake
9-05-2025,جامعة الشلف منعت الأساتذة باش يهدروا مع وسائل الإعلام الدولية.,Education,fake
18-04-2025,غرق باطو روماني كان معمر بالكباش المستوردة وهو جاي للجزائر.,Economy,fake
12-02-2025,وزارة الخارجية الجزائرية نشرت خريطة ماكانش فيها الحدود تاع المغرب مع الصحرا الغربية.,Politics,fake
12-01-2025,طاحت طيارة تاع مطافية كانت تسيي تطفّي في النار في لوس أنجلوس.,Social,fake
9-01-2025,موريتانيا فرضت الفيزا (التأشيرة) على الجزائريين.,Politics,fake
7-01-2025,شركة جيلي الجزائر أعلنت الإفلاس ولغات جميع الطلبات تاع الزبائن.,Economy,fake
20-12-2025,وزارة الصحة قررت تفرّض غرامة خشينة على أي واحد ما يديرش ماسك في لبلايص العمومية، بداية من السمانة الجاية.,Health,fake
5-01-2026,الزيتون هاد العام فسد كااامل بسباب مرض غريب جامي صرا. الزيت راهو رايح يلحق 3000 دج للتر!,Economy,fake
1-02-2026,الحكومة راهي توجد باش تنحي الدعم على السكر والزيت ابتداءً من مارس 2026.,Economy,fake
10-Mar-2026,: حبسوا المدير العام تاع سوناطراك الجديدة في حكاية فساد كبيرة!,Politics,fake
25-Apr-2026,مورا الاجتماع اللخراني، قرروا ينحّو ديڤوت الرخصة تاع المجاهد على ولاد لولاد بالكلية.,Politics,fake
3-May-2026,خبر شباب! علي بن شيخ رجع للمنتخب الوطني كمدير رياضي جديد!,Sports,fake
18-Jun-2026,بان باللي كاين عين سخونة تشفي من كل داء في منطقة جبلية في ولاية تيزي وزو.,Health,fake
15-Aug-2026,قالو ما تشربوش ماء تاع الروبيني في العاصمة، صرا تلوث خطير ماكانش على بالنا بيه!,Health,fake
9-Sep-2026,الوزارة تاع الدفاع راهي تعيط للشباب اللي دارو لافيست باش يفوتو السيرفيس ناسيونال ابتداءً من 1 أكتوبر.,Politics,fake
22-Oct-2026,شركة سامسونغ العالمية قررت تدير مصنع كبير تاعها في ولاية سطيف وراح توظف 5000 خدّام.,Economy,fake
4-Nov-2026,: نتائج تاع البيام راح يخرجو اليوم على الساعة 11 تاع الليل!,Education,fake
1-Dec-2026,ممنوع على حتى واحد يدخل بورتابل جديد معاه في الفاليز، لازم يكون مخلص عليه الضريبة!,Economy,fake
13-Jan-2027,اللاعب بلال براهيمي دار حالة كبيرة مع المدرب تاعو في نيس و راهو رايح يفسخ الكونطرا!,Sports,fake
26-Feb-2027,: الوالي تاع ولاية وهران حبسوه الليلة بتهمة تبزنيس الدراهم تاع الشعب.,Politics,fake
10-Mar-2027,صالح أوقروت، الكوميدي المشهور، راهو في حالة خطيرة في السبيطار في فرنسا!,Health,fake
6-May-2027,: كل اللي عندهم سكنات عدل لازم يديرو ملف جديد باش يثبتو الإقامة تاعهم، وإلا راح يتنحا عليهم السكن!,Social,fake
19-Jun-2027,: هاد الأيام راهي تنتشر سرقة السيارات في العاصمة عن طريق عصابات تستعمل المخدرات باش تخدر الناس!,Social,fake
1-Jul-2027,: الحكومة قررت تقدم موعد عيد الأضحى بثلاثة أيام لأسباب تنظيمية!,Social,fake
14-Aug-2027,: معدل القبول في تخصص الطب راح يكون 14 هاد العام!,Education,fake
27-Sep-2027,: لقاو وثيقة سرية تثبت بلي الرئيس السابق يزيد كان عايش في بلاد أوروبية!,Politics,fake
10-Oct-2027,: الممثل الفلاني (الكوميدي) راهو في الحبس على جال قضية تبادل زوجات!,Social,fake
23-Nov-2027,: اكتشاف طريقة جديدة باش الويفي يولي يلحق حتى لـ 10 كيلومترات!,Technology,fake
6-Dec-2027,: الحكومة راهي راح دير زيادة 50% في أجور الموظفين والعمال ابتداءً من جانفي 2028.,Economy,fake
19-Jan-2028,: الجزائر قررت تغلق المجال الجوي تاعها نهائيا على الطائرات الأجنبية بسبب تهديدات أمنية.,Politics,fake
1-Feb-2028,: المدرب جمال بلماضي راهو يرجع لتدريب فريق جزائري!,Sports,fake
14-Mar-2028,: ما تاكلوش اللحم تاع الأبقار هاد الأيام، راه فيه مرض خطير جديد!,Health,fake
27-Apr-2028,ينحو كاع الإعانات الاجتماعية على العائلات اللي عندها كثر من زوج تيليفونات بورطابل.,Social,fake
10-May-2028,: جامعة هواري بومدين (باب الزوار) قررت تمنع الطلبة من الدخول بـ Short القصير.,Education,fake
23-Jun-2028,: طلقو فيزا فابور للجزائريين لتركيا لمدة 90 يوم.,Politics,fake
5-Jul-2028,: العمر القانوني للتقاعد في الجزائر راح يولي 65 سنة ابتداءً من العام الجاي.,Economy,fake
18-Aug-2028,: الطفلة سلمى اللي كانت غايبة في قسنطينة، لقاوها مذبوحة في باراج بني هارون.,Social,fake
30-Sep-2028,إعلان على ترشح واحد جديد و مفاجأة للرئاسيات الجاية، و هو شخصية عسكرية قديمة!,Politics,fake
13-Oct-2028,: كميات ضخمة من الكوكايين لقاوه مخبي في حاويات تاع سكر في ميناء الجزائر العاصمة.,Judiciary,fake
25-Nov-2028,: شركة أبل العالمية راح تفتح أول متجر رسمي ليها في الجزائر العاصمة.,Technology,fake
8-Dec-2028,اكتشاف منجم تاع الماس جديد في الجنوب تاع الجزائر!,Economy,fake
20-Jan-2029,: المؤثرة المشهورة و.م ماتت فجأة بعد عملية تجميل دارتها في تونس.,Social,fake
2-Feb-2029,: ممنوع على أي واحد يدير عرس ولا مناسبةفي قاعة الحفلات بعد 10 تاع الليل.,Social,fake
15-Mar-2029,: وزارة التعليم العالي راح تقدم منحة شهرية جديدة للطلبة المتميزين.,Education,fake
28-Apr-2029,: المدرب الفرنسي زين الدين زيدان راهو يتفاوض مع المنتخب الوطني باش يدربهم!,Sports,fake
10-May-2029,: إعلان عن حالة طوارئ صحية في الجزائر بعد ظهور فيروس جديد.,Health,fake
23-Jun-2029,إطلاق قرض تاع زواج بلا ربا بـ 50 مليون سنتيم لكل شاب.,Economy,fake
5-Jul-2029,: منظمة إرهابية دولية راهي تهدد باش تفجر الجامع الأعظم في العاصمة.,Judiciary,fake
18-Aug-2029,: العودة للدراسة في المدارس راح تكون نهار الأحد الجاي، ماشي في الموعد اللي حددوه من قبل.,Education,fake
30-Sep-2029,:وكيل طوموبيلات جديد راح يجيب مرسيدس بسومة تاع المصنع!,Economy,fake
13-Oct-2029,: الفنانة المعروفة نوميديا لزول راهي تحضر باش تتزوج من رجل أعمال تونسي مشهور!,Social,fake
25-Nov-2029,: أي مواطن يصور عون أمن في الشارع راح يتعاقب بالحبس من 3 أشهر لـ عامين!,Judiciary,fake
03-11-2025,تم اكتشاف بلي كاين بقعة تاع نفط تحت الجامع الأعظم، وراهم يقولو بلي راح يحفرو تحتو!,Economy,fake
17-12-2025,: النادي الكبير مولودية الجزائر راهو شرا ملعب 5 جويلية رسميا من عند الدولة!,Sports,fake
05-01-2026,: قرروا يرجعوا العمل بنظام الحجر الصحي(Confinement) جزئيا في الليل في الولايات الكبار، ابتداءً من نهاية الأسبوع.,Health,fake
19-02-2026,: وزارة التضامن راهي تطلق برنامج جديد باش تمد قروض صغيرة بلا فوائد للعائلات اللي تسكن في مناطق ريفية.,Economy,fake
28-03-2026,شدّو مول سلسلة مطاعم معروفة في العاصمة، كي صابو عندو لحم تاع حمار!,Judiciary,fake
12-04-2026,: الواتساب راح يولي بالدراهم في الجزائر من الشهر الجاي، لازم تخلص 200 دج كل شهر باش تقدر تستعملو!,Technology,fake
26-05-2026,: وزارة التربية قررت دير العطلة الصيفية لمدة شهرين ونصف بدلاً من شهرين، باش يزيدو وقت للراحة للأساتذة.,Education,fake
09-06-2026,: كاين تغيير كبير في عملة 1000 دينار جزائري، راح ينحيو منها الصورة القديمة ويديرو صورة جديدة!,Economy,fake
21-07-2026,: إعلان بلي الوزير الأول الحالي راح يترشح للرئاسيات القادمة!,Politics,fake
04-08-2026,:حبسوا البث تاع قناة تليفزيونية جزائرية معروفة خطرة وحدة لخاطرش المحتوى تاعها يمس بالأخلاق.,Social,fake
18-09-2026,: الدولة راح تفتح باب الهجرة الشرعية لكندا وأستراليا للشباب اللي ما عندهمش خدمة.,Social,fake
02-10-2026,: الدولة راح تسمح للمواطنين باش يستوردو الخردة تاع السيارات (Les voitures à la casse) اللي فاتت عليها 10 سنين.,Economy,fake
16-11-2026,: تم اكتشاف بلي المشروبات الغازية لي يتباعو في الجزائر فيهم مادة مسرطنة ممنوعة دولياً!,Health,fake
30-12-2026,: شخصية سياسية قديمة كانت معروفة ماتت في مستشفى خاص في الخارج.,Politics,fake
13-01-2027,: أي واحد يستعمل VPN في التليفون تاعو راح يتعاقب بغرامة كبيرة توصل لـ 10 ملايين سنتيم!,Technology,fake
27-02-2027,: ولاية وهران راح تطلق مشروع سكنات اجتماعية جديدة بأسعار رخيصة جداً، التسجيل يبدا الأسبوع الجاي.,Social,fake
11-03-2027,: نادي اتحاد العاصمة راهو يجيب مدرب عالمي مشهور باش يدرب الفريق في الموسم الجاي.,Sports,fake
25-04-2027,: السلطات قررت تحبس العروض تاع التياترو لي تهدر على مواضيع حساسة في المجتمع.,Culture,fake
08-05-2027,: ممنوع على أي واحد يستعمل الكاميرافي الطريق العام باش يصور أي حاجة بلا إذن!,Judiciary,fake
22-06-2027,: راهم يقولو بلي كاين تعديل وزاري كبير راح يجي في الأيام الجاية ويطيح رؤوس كبيرة!,Politics,fake
05-07-2027,: العطلة تاع عيد الاستقلال راح تكون 4 أيام كاملة هاد العام!,Social,fake
19-08-2027,: وزارة التربية راهي رايحة تحبس قراية اللغة الفرنسية في الابتدائي.,Education,fake
01-09-2027,: قوات الجيش راهي شدت خلية إرهابية كبيرة كانت ناوية دير هجمات في الشرق الجزائري.,Judiciary,fake
15-10-2027,: الجزائر راح تبدا تصدّر الغاز لبلدان جديدة في آسيا!,Economy,fake
29-11-2027,: اكتشاف سمكة قرش عملاقة في شواطئ بجاية!,Environment,fake
13-12-2027,: الفنانة القديرة بهية راشدي قررت تعتزل التمثيل نهائياً بسبب مرض ما خلاهاش تكمل.,Social,fake
26-01-2028,: إطلاق منصة جزائرية جديدة تشبه يوتيوب لكنها مجانية 100% وبلا إعلانات.,Technology,fake
09-02-2028,: تم إصدار قانون جديد يمنع المرأة من قيادة السيارة بعد 10 تاع الليل!,Politics,fake
23-03-2028,: لقاو كميات كبيرة من البيض المسرطن المستورد من أوروبا في السوق الجزائري!,Health,fake
06-04-2028,: المنتخب الجزائري راح يدير مباراة ودية ضد المنتخب البرازيلي في ملعب 5 جويلية الشهر الجاي.,Sports,fake
20-05-2028,: الدولة راهي تفتح فنادق فخمة جديدة في الصحراء بأسعار رمزية للجزائريين.,Economy,fake
02-06-2028,: إشاعة بلي المؤثر المشهور فلان تزوج بالسر على مرتو الأولى!,Social,fake
16-07-2028,: وزارة التعليم العالي قررت تلغي نظام LMDوتعاود ترجع للنظام الكلاسيكي القديم.,Education,fake
29-08-2028,": إطلاق عملة جزائرية جديدة سموها ""الدينار الرقمي"" راح تعوض العملة القديمة.",Technology,fake
12-09-2028,: عصابة خطيرة تاع تجارة الأعضاء البشريةشدتهم الشرطة في ولاية باتنة.,Judiciary,fake
25-10-2028,: خط جديد تاع مترو راح يفتح بين الحراش والبليدة في ديسمبر!,Economy,fake
08-11-2028,: إعلان بلي رئيس حزب سياسي كبير راح يقدم استقالتو بشكل مفاجئ.,Politics,fake
21-12-2028,: تحذير من عاصفة ثلجية قوية جداً راح تضرب الشمال الجزائري كامل!,Environment,fake
04-01-2029,: تصريح بلي الفنان المشهور س.ع راهو يخدم في أغنية جديدة مع مغني عالمي!,Social,fake
17-02-2029,: قرار رسمي بـ إلغاء التطعيم الإجباري للأطفال الرضع.,Health,fake
03-03-2029,: الحكومة راح تمد سكنات مجانية للأزواج اللي يتزوجو قبل 25 سنة.,Social,fake
16-04-2029,: جامعة تلمسان راهي تفتح تخصص جديد في دراسة الكائنات الفضائية!,Education,fake
30-05-2029,: الحكم الجزائري المشهور ف.ف راح يحكم في نهائي كأس العالم الجاي!,Sports,fake
12-06-2029,: توقيع اتفاقية مع إيطاليا باش تفتح مصنع ضخم تاع باستا في وهران.,Economy,fake
26-07-2029,: الشرطة راهي تستعمل طيارات درون باش تراقب بيوت اللي يشكو بلي يبيعو المخدرات.,Judiciary,fake
09-08-2029,: لقاو سيف أثري قديم تاع الأمير عبد القادرمخبي في كهف.,Culture,fake
22-09-2029,: شركة صينية راهي توظف 1000 عامل جزائري في الصين براتب 12 مليون شهرياً.,Economy,fake
05-10-2029,: إعلان بلي الجزائر راح تنسحب من الجامعة العربية بعد خلافات كبيرة.,Politics,fake
18-11-2029,: توفير منحة بطالة جديدة بـ 25000 دج للنساء الماكثات في البيت.,Social,fake
01-12-2025,: لقاو بلي كاين حل طبيعي سحري جديد لـ تساقط الشعر، والنتائج تبان في سمانة برك!,Health,fake
14-01-2026,: الدولة قررت تفتح مدارس جديدة لتعليم الموسيقى مجاناً للأطفال اللي عندهم موهبة.,Education,fake
28-02-2026,: راح يبداو يديرو ضريبة على النفايات، وكل دار لازم تخلص مبلغ شهري على الزبل تاعها.,Economy,fake
13-03-2026,: انفجار كبير صرا في مصنع كيماوياتفي سكيكدة، والضحايا بالمئات!,Social,fake
27-04-2026,: تطبيق انستغرام راح يولي مدفوع في الجزائر ابتداءً من الشهر الجاي، 300 دج للشهر!,Technology,fake
10-05-2026,: إعلان بلي الوزير الفلاني (المعروف) راهو غضب على رئيس الحكومة وراح يقدم استقالتو!,Politics,fake
24-06-2026,: نادي شباب بلوزداد راهو جاب لاعب عالمي كبير من أوروبا وراح يلعب معاهم الموسم الجاي.,Sports,fake
07-07-2026,: اكتشاف كهف سري فيه رسومات قديمة جداً ما عندهاش مثيل في العالم، في منطقة نائية.,Culture,fake
20-08-2026,: راهم يقولو بلي الحكومة راح تزيد في سعر البنزين مرة أخرى بـ 10 دج للتر الواحد.,Economy,fake
03-09-2026,: انتشار مرض غريب جديد يصيب الحيوانات الأليفة، خاصة القطط والكلاب، ويسبب الوفاة.,Health,fake
16-10-2026,: وزارة التعليم العالي قررت تنحي شرط المعدل باش تدخل للجامعة، وديرو القرعة!,Education,fake
29-11-2026,: تم إلقاء القبض على عصابة خطيرة تاع تزوير جوازات السفر كانت تخدم في العاصمة.,Judiciary,fake
12-12-2026,: شركة شاومي العالمية راح تفتح مصنع تجميع للهواتف تاعها في ولاية تيبازة.,Economy,fake
25-01-2027,: إشاعة بلي الزواج العرفي راح يولي مسموح بيه قانونيا في الجزائر.,Social,fake
08-03-2027,: الرئيس راح يحل البرلمان ويدير انتخابات جديدة قبل وقتها المحدد.,Politics,fake
22-04-2027,: النجم العالمي كريستيانو رونالدو راهو يخطط باش يجي للجزائر ويزور ملعب 5 جويلية.,Sports,fake
05-05-2027,: لقاو مواد سامة خطيرة في الفرينة(الدقيق) اللي تستعمل في الخبز تاعنا!,Health,fake
18-06-2027,: راح يبداو يديرو البطاقة الذهبية الجديدة اللي تقدر تجبد بيها دراهم من البنك!,Economy,fake
01-07-2027,: لقاو تابوت فرعوني قديم بزاف في منطقة الجلفة!,Culture,fake
14-08-2027,: وزارة التربية راهي تقرر باش امتحان البكالوريا يولي بمادة واحدة فقط!,Education,fake
27-09-2027,: الجزائر راهي دير قاعدة عسكرية جديدة كبيرة في الحدود مع مالي.,Politics,fake
10-10-2027,: الدولة راح تمد بساكل كهربائيةمجانية للطلبة الجامعيين باش يتنقلو بيها.,Technology,fake
23-11-2027,: الممثل الكوميدي المشهور مات وهو يدير عملية تجميل في الخارج!,Social,fake
06-12-2027,: راح يبداو يديرو ضريبة على كل السلع اللي تدخل للجزائر عن طريق التجارة الإلكترونية.,Economy,fake
19-01-2028,: اكتشاف نوع جديد من النباتات العملاقة اللي تاكل اللحم في غابات جيجل.,Environment,fake
02-02-2028,: راح يبداو يطبقو قانون جديد صارم على أي واحد يدخن في الأماكن العمومية، والعقوبة توصل للحبس!,Judiciary,fake
16-03-2028,: نادي وفاق سطيف راهو يبيع جميع اللاعبين تاعو ويحل الفريق!,Sports,fake
29-04-2028,: الجزائر راح تفتح الحدود تاعها للمرة الأولى مع المغرب في الصيف الجاي.,Politics,fake
12-05-2028,: وزارة الصحة راهي توصي الناس باش ما يشربوش الحليب تاع البقرة هاد الأيام، راه فيه فيروس.,Health,fake
25-06-2028,: قرروا يديرو اختبار نفسي إجباري على جميع الأساتذة قبل ما يدخلو الأقسام.,Education,fake
08-07-2028,: الدولة راح تمد قروض مجانية بلا حتى فوائد للشباب اللي حاب يفتح مشروع تاع تكنولوجيا.,Economy,fake
21-08-2028,: اكتشاف لغة قديمة ما كانش معروفة، في نقوش على صخور في جبال الهقار.,Culture,fake
04-09-2028,: تم إحباط مخطط إرهابي كبير كان ناو يدير تفجيرات في جامعات العاصمة.,Judiciary,fake
17-10-2028,: إطلاق أول سيارة كهربائية جزائرية الصنع 100% بسعر مليون سنتيم برك!,Technology,fake
30-11-2028,: إعلان بلي الوزير تاع الطاقة الحالي راح يولي رئيس جديد لشركة سوناطراك.,Politics,fake
13-12-2028,: الحكومة راح تمد منحة شهرية دائمة للأمهات العازبات.,Social,fake
26-01-2029,: اللاعب الدولي إسلام سليماني راهو يرجع يلعب في فريق جزائري في الموسم الجاي!,Sports,fake
09-02-2029,: لقاو بلي كاين نوع جديد من الفواكه ينمو في الصحراء يشفي من مرض السرطان.,Health,fake
23-03-2029,: راح يبداو يديرو ضريبة على كل واحد عندو أكثر من دار وحدة.,Economy,fake
06-04-2029,: وزارة التربية راهي تلغي الفروض وتخلي غير الامتحانات.,Education,fake
20-05-2029,: تم إلقاء القبض على شخصية أمنية كبيرة كانت تابعة للنظام القديم.,Politics,fake
03-06-2029,: راح يفتحو سوق جديد كبير لبيع السيارات المستعملة بأسعار المصنع!,Economy,fake
17-07-2029,: اكتشاف مخطوطات قديمة جداً تثبت بلي الجزائر هي مهد الحضارات القديمة!,Culture,fake
30-08-2029,: إطلاق خدمة الإنترنت المجاني في جميع الأماكن العمومية في الجزائر!,Technology,fake
12-09-2029,: الحكومة راح تطلق برنامج جديد لدعم الأرامل والمطلقات بـ 3 ملايين سنتيم شهرياً.,Social,fake
26-10-2029,: المدرب الألماني يورغن كلوب راهو يقود المنتخب الوطني في كأس إفريقيا!,Sports,fake
08-11-2029,: لقاو بلي كاين نوع جديد من الأشجارينمو في الجزائر يقضي على جميع الفيروسات في الجو.,Environment,fake
21-12-2029,: الرئيس راهو يدير إجراءات صارمةجديدة باش يرجع الهيبة للدولة.,Politics,fake
03-01-2030,: خط جديد تاع ترامواي راح يوصل بين بومرداس وتيزي وزو!,Economy,fake
16-02-2030,: تم إلقاء القبض على أكبر عصابة تاع تهريب الآثار في تاريخ الجزائر.,Judiciary,fake
01-03-2026,: ولاية قسنطينة راح تفتح التسجيل لـ سكنات اجتماعية جديدة لأصحاب الدخل المتوسط.,Social,fake
14-04-2026,": إطلاق هاتف ذكي جديد سمّوه ""هاتف الشعب"" جزائري الصنع وسعره رخيص بزاف (10 آلاف دج).",Technology,fake
28-05-2026,: الجيش راهو يرجع للعمل بنظام الحواجز الأمنية الثابتة (Barrages fixes) في الليل على الطرقات الكبيرة.,Politics,fake
11-06-2026,: نادي شبيبة القبائل راهو يعيّن مدرب إسباني كبير درب فرق مشهورة في أوروبا!,Sports,fake
